x,y,inside,u,v,p,speed,continuity_abs
5.155131264916468226e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-9.451983496546745300e-04,-6.918533146381378174e-02,3.642354160547256470e-03,6.919179111719131470e-02,3.070768900215625763e-02
5.202863961813842808e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-8.574603125452995300e-04,-6.908281147480010986e-02,3.814708441495895386e-03,6.908813118934631348e-02,3.089004382491111755e-02
5.250596658711217390e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-7.693050429224967957e-04,-6.897319853305816650e-02,3.981079906225204468e-03,6.897749006748199463e-02,3.106988780200481415e-02
5.298329355608591973e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-6.812093779444694519e-04,-6.885679066181182861e-02,4.142094403505325317e-03,6.886015832424163818e-02,3.124674037098884583e-02
5.346062052505966555e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-5.926964804530143738e-04,-6.873358786106109619e-02,4.297476261854171753e-03,6.873614341020584106e-02,3.142075985670089722e-02
5.393794749403341138e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-5.048988386988639832e-04,-6.860364973545074463e-02,4.446815699338912964e-03,6.860550493001937866e-02,3.159105777740478516e-02
5.441527446300715720e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-4.168031737208366394e-04,-6.846697628498077393e-02,4.590597003698348999e-03,6.846824288368225098e-02,3.175805136561393738e-02
5.489260143198091413e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-3.288267180323600769e-04,-6.832380592823028564e-02,4.728574305772781372e-03,6.832459568977355957e-02,3.192031010985374451e-02
5.536992840095465995e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-2.413867041468620300e-04,-6.817449629306793213e-02,4.860740154981613159e-03,6.817492097616195679e-02,3.207929432392120361e-02
5.584725536992840578e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-1.538274809718132019e-04,-6.801845133304595947e-02,4.987556487321853638e-03,6.801862269639968872e-02,3.223386034369468689e-02
5.632458233890215160e-01,-5.000000000000000000e-01,1.000000000000000000e+00,-6.716232746839523315e-05,-6.785638630390167236e-02,5.108501762151718140e-03,6.785642355680465698e-02,3.238332644104957581e-02
